epoch,acc,loss,val_acc,val_loss
0,0.40533334016799927,1.4651849269866943,0.54666668176651,1.217165470123291
1,0.5503333210945129,1.1502140760421753,0.6000000238418579,1.0259660482406616
2,0.612333357334137,1.0013484954833984,0.6700000166893005,0.913385808467865
3,0.6639999747276306,0.9098047018051147,0.6816666722297668,0.8361456990242004
4,0.6866666674613953,0.8459819555282593,0.7583333253860474,0.7105482816696167
5,0.7113333344459534,0.7945663928985596,0.7250000238418579,0.7997494339942932
6,0.7433333396911621,0.7087578177452087,0.7450000047683716,0.6635192632675171
7,0.7580000162124634,0.6604198217391968,0.7683333158493042,0.6590217351913452
8,0.7773333191871643,0.6177827715873718,0.7599999904632568,0.6391615867614746
9,0.7853333353996277,0.6064428091049194,0.7666666507720947,0.6600849032402039
10,0.7990000247955322,0.5695735812187195,0.7850000262260437,0.6440667510032654
11,0.8109999895095825,0.5317860245704651,0.8050000071525574,0.551930844783783
12,0.8199999928474426,0.5131364464759827,0.7850000262260437,0.5990915894508362
13,0.8206666707992554,0.5088600516319275,0.800000011920929,0.589194118976593
14,0.8216666579246521,0.4834189713001251,0.8033333420753479,0.5465696454048157
15,0.8346666693687439,0.4527546465396881,0.8383333086967468,0.5432043671607971
16,0.8493333458900452,0.4174206256866455,0.8233333230018616,0.6033562421798706
17,0.8506666421890259,0.42222195863723755,0.824999988079071,0.5732489228248596
18,0.8523333072662354,0.40234723687171936,0.824999988079071,0.5179573893547058
19,0.862333357334137,0.3852488696575165,0.8233333230018616,0.507041335105896
20,0.8700000047683716,0.36439627408981323,0.82833331823349,0.5429428219795227
21,0.8863333463668823,0.3369901180267334,0.79666668176651,0.5935919284820557
22,0.8846666812896729,0.32853031158447266,0.8500000238418579,0.533239483833313
23,0.890999972820282,0.3092133402824402,0.8416666388511658,0.4962306320667267
24,0.8809999823570251,0.32665228843688965,0.8349999785423279,0.577457845211029
25,0.8913333415985107,0.28612020611763,0.8450000286102295,0.5296199917793274
26,0.9023333191871643,0.2641396224498749,0.8216666579246521,0.550678014755249
27,0.9133333563804626,0.2524377703666687,0.8416666388511658,0.5404595136642456
28,0.9133333563804626,0.23084613680839539,0.8333333134651184,0.50694340467453
29,0.9066666960716248,0.25292831659317017,0.8516666889190674,0.4856280982494354
